candidate_label,warmup_conflicts,family,base_instance_id,target_roles,rows,variants,repeats,reference_search_ok_frac,candidate_search_ok_frac,candidate_search_blowup_frac,candidate_cpu_only_win_frac,candidate_protocol_win_search_bad_frac,search_ok_frac_change_vs_reference,search_ok_lost_vs_reference_rows,search_ok_gained_vs_reference_rows,new_blowup_vs_reference_rows,adapter_cached_decisions_delta_reference_mean,adapter_cached_decisions_delta_candidate_mean,adapter_cached_decisions_delta_change_vs_reference_mean,adapter_cached_conflicts_delta_reference_mean,adapter_cached_conflicts_delta_candidate_mean,adapter_cached_conflicts_delta_change_vs_reference_mean,adapter_cached_final_cpu_delta_reference_mean,adapter_cached_final_cpu_delta_candidate_mean,adapter_cached_final_cpu_delta_change_vs_reference_mean,adapter_plain_protocol_delta_reference_mean,adapter_plain_protocol_delta_candidate_mean,adapter_plain_protocol_delta_change_vs_reference_mean,event_state_l2_sum_reference_mean,event_state_l2_sum_candidate_mean,event_state_l2_sum_change_vs_reference_mean,event_state_nonzero_vars_reference_mean,event_state_nonzero_vars_candidate_mean,event_state_nonzero_vars_change_vs_reference_mean
iter=115,1,complete_coloring,k10_color9,hard_negative,9,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,3,0,3,-19274.0,13976.666666666666,33250.666666666664,-15695.666666666666,14065.666666666666,29761.333333333332,-0.18443777777777756,-0.23327777777777792,-0.04884000000000036,-0.07157051328535162,-0.21203344871658786,-0.14046293543123622,136.9733123779297,136.9733123779297,0.0,90.0,90.0,0.0
iter=115,1,complete_coloring,k8_color7,other,9,3,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,3,3,3,-140.0,-190.33333333333334,-50.333333333333336,-110.0,-190.66666666666666,-80.66666666666667,-0.006191333333333332,-0.011189777777777734,-0.0049984444444444,0.8420751628334191,0.4423275568683279,-0.3997476059650912,84.77042134602864,84.77042134602864,0.0,56.0,56.0,0.0
iter=115,1,complete_coloring,k9_color8,anchor,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-1917.6666666666667,-5948.333333333333,-4030.6666666666665,-1785.0,-5473.666666666667,-3688.6666666666665,-0.14853466666666662,-0.22177744444444442,-0.07324277777777777,0.5532167721413372,0.24280166724582516,-0.3104151048955122,109.49154917399089,109.49154917399089,0.0,72.0,72.0,0.0
iter=115,1,php,php_p10_h9,hard_negative,9,3,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,3,0,3,-29556.666666666668,18725.333333333332,48282.0,-25850.333333333332,18743.333333333332,44593.666666666664,-0.3622844444444444,-0.14063999999999993,0.22164444444444448,-0.8447637695981463,-0.30351676416834855,0.5412470054297978,136.9733123779297,136.9733123779297,0.0,90.0,90.0,0.0
iter=115,1,php,php_p9_h8,anchor,9,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-1917.6666666666667,-5948.333333333333,-4030.6666666666665,-1785.0,-5473.666666666667,-3688.6666666666665,-0.08458677777777773,-0.25137988888888885,-0.16679311111111111,0.17060724784280856,0.09059358274228044,-0.08001366510052813,109.49154917399089,109.49154917399089,0.0,72.0,72.0,0.0
iter=115,1,random_3sat_control,random_3sat_control_v160_c704_seed2615,random_control,9,3,3,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0,0,0,672.6666666666666,723.0,50.333333333333336,494.3333333333333,512.6666666666666,18.333333333333332,0.002061666666666644,-0.0022764444444444334,-0.004338111111111077,0.3413540061805777,1.0594279896501568,0.7180739834695791,250.46484883626303,250.46484883626303,0.0,160.0,160.0,0.0
iter=115,1,random_3sat_control,random_3sat_control_v180_c760_seed3301,random_control,9,3,3,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0,0,0,40412.0,35607.0,-4805.0,35797.333333333336,31316.0,-4481.333333333333,0.5872858888888889,0.5417011111111112,-0.04558477777777778,0.31903162516571415,1.3584894252139132,1.039457800048199,291.29674275716144,291.29674275716144,0.0,180.0,180.0,0.0
iter=115,1,random_3sat_control,random_3sat_control_v220_c928_seed3303,random_control,9,3,3,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0,0,0,277.3333333333333,800.6666666666666,523.3333333333334,233.33333333333334,656.3333333333334,423.0,0.002860333333333344,0.0067833333333333,0.003922999999999956,-0.3219348718331523,0.7616076666482223,1.0835425384813746,331.58192952473956,331.58192952473956,0.0,220.0,220.0,0.0
iter=115,1,random_3sat_control,random_3sat_control_v220_c942_seed3304,random_control,9,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,13873.0,13804.666666666666,-68.33333333333333,12218.0,12228.333333333334,10.333333333333334,0.18769733333333327,0.1295603333333333,-0.058136999999999994,0.6387745871826279,0.407546170351651,-0.2312284168309768,323.7030029296875,323.7030029296875,0.0,220.0,220.0,0.0
iter=115,1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,random_control,9,3,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0,3,0,34077.333333333336,34215.333333333336,138.0,29953.333333333332,30278.333333333332,325.0,0.6393210000000001,0.6973734444444445,0.05805244444444445,-3.086469606218285,-3.685719097884489,-0.5992494916662043,390.126953125,390.126953125,0.0,260.0,260.0,0.0
