candidate_label,family,target_role,base_instance_id,variant,repeat_id,wc1_search_ok,wc3_search_ok,wc1_candidate_search_ok,wc1_target_role,wc1_family,wc1_adapter_cached_decisions_delta_candidate,wc1_adapter_cached_conflicts_delta_candidate,wc1_adapter_cached_final_cpu_delta_candidate,wc3_candidate_search_ok,wc3_target_role,wc3_family,wc3_adapter_cached_decisions_delta_candidate,wc3_adapter_cached_conflicts_delta_candidate,wc3_adapter_cached_final_cpu_delta_candidate
iter=80,php,hard_negative,php_p10_h9,base,0,True,False,True,hard_negative,php,-104114.0,-96506.0,-1.2511300000000003,False,hard_negative,php,18162.0,19145.0,-0.3165199999999997
iter=80,php,hard_negative,php_p10_h9,base,1,True,False,True,hard_negative,php,-104114.0,-96506.0,-1.02201,False,hard_negative,php,18162.0,19145.0,-0.3237000000000001
iter=80,php,hard_negative,php_p10_h9,base,2,True,False,True,hard_negative,php,-104114.0,-96506.0,-1.4716399999999998,False,hard_negative,php,18162.0,19145.0,-0.5946600000000002
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,base,0,False,True,False,random_control,random_3sat_control,19645.0,17250.0,0.2051499999999999,True,random_control,random_3sat_control,-9478.0,-9045.0,-0.7237729999999999
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,base,1,False,True,False,random_control,random_3sat_control,19645.0,17250.0,0.26166,True,random_control,random_3sat_control,-9478.0,-9045.0,-0.3354139999999999
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,base,2,False,True,False,random_control,random_3sat_control,19645.0,17250.0,0.42022,True,random_control,random_3sat_control,-9478.0,-9045.0,-0.4336299999999999
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1730,0,False,True,False,random_control,random_3sat_control,9055.0,7276.0,-0.0572000000000001,True,random_control,random_3sat_control,-13412.0,-13165.0,-0.772132
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1730,1,False,True,False,random_control,random_3sat_control,9055.0,7276.0,0.10789,True,random_control,random_3sat_control,-13412.0,-13165.0,-0.3659150000000001
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1730,2,False,True,False,random_control,random_3sat_control,9055.0,7276.0,-0.0440199999999999,True,random_control,random_3sat_control,-13412.0,-13165.0,-0.776333
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1731,0,False,True,False,random_control,random_3sat_control,31588.0,27988.0,0.6525100000000001,True,random_control,random_3sat_control,-8151.0,-7600.0,-0.3746860000000001
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1731,1,False,True,False,random_control,random_3sat_control,31588.0,27988.0,0.5321400000000001,True,random_control,random_3sat_control,-8151.0,-7600.0,-0.244531
iter=80,random_3sat_control,random_control,random_3sat_control_v260_c1097_seed3305,perm_seed1731,2,False,True,False,random_control,random_3sat_control,31588.0,27988.0,0.65523,True,random_control,random_3sat_control,-8151.0,-7600.0,-0.3499540000000001
iter=80,subset_cardinality,other,subset_cardinality_bw10,perm_seed1731,0,True,False,True,other,subset_cardinality,-28.0,-17.0,-0.000651,False,other,subset_cardinality,11.0,-11.0,-0.001715
iter=80,subset_cardinality,other,subset_cardinality_bw10,perm_seed1731,1,True,False,True,other,subset_cardinality,-28.0,-17.0,0.000765,False,other,subset_cardinality,11.0,-11.0,-0.0028669999999999
iter=80,subset_cardinality,other,subset_cardinality_bw10,perm_seed1731,2,True,False,True,other,subset_cardinality,-28.0,-17.0,0.000964,False,other,subset_cardinality,11.0,-11.0,0.0007309999999999
v1_2_iter15,complete_coloring,hard_negative,k10_color9,base,0,True,False,True,hard_negative,complete_coloring,-87822.0,-81551.0,-1.1252,False,hard_negative,complete_coloring,70617.0,66968.0,0.2671399999999999
v1_2_iter15,complete_coloring,hard_negative,k10_color9,base,1,True,False,True,hard_negative,complete_coloring,-87822.0,-81551.0,-1.0915199999999996,False,hard_negative,complete_coloring,70617.0,66968.0,0.2887300000000001
v1_2_iter15,complete_coloring,hard_negative,k10_color9,base,2,True,False,True,hard_negative,complete_coloring,-87822.0,-81551.0,-0.90578,False,hard_negative,complete_coloring,70617.0,66968.0,0.2426500000000002
v1_2_iter15,complete_coloring,hard_negative,k10_color9,perm_seed1731,0,True,False,True,hard_negative,complete_coloring,-16019.0,-10993.0,-0.0155599999999997,False,hard_negative,complete_coloring,116261.0,110921.0,0.8853599999999999
v1_2_iter15,complete_coloring,hard_negative,k10_color9,perm_seed1731,1,True,False,True,hard_negative,complete_coloring,-16019.0,-10993.0,0.2472700000000003,False,hard_negative,complete_coloring,116261.0,110921.0,0.94489
v1_2_iter15,complete_coloring,hard_negative,k10_color9,perm_seed1731,2,True,False,True,hard_negative,complete_coloring,-16019.0,-10993.0,0.09314,False,hard_negative,complete_coloring,116261.0,110921.0,0.96134
v1_2_iter15,complete_coloring,other,k8_color7,base,0,False,True,False,other,complete_coloring,49.0,76.0,-0.002658,True,other,complete_coloring,-324.0,-273.0,-0.016314
v1_2_iter15,complete_coloring,other,k8_color7,base,1,False,True,False,other,complete_coloring,49.0,76.0,-0.001571,True,other,complete_coloring,-324.0,-273.0,-0.008115
v1_2_iter15,complete_coloring,other,k8_color7,base,2,False,True,False,other,complete_coloring,49.0,76.0,0.0010789999999999,True,other,complete_coloring,-324.0,-273.0,-0.0134959999999999
v1_2_iter15,php,hard_negative,php_p10_h9,base,0,True,False,True,hard_negative,php,-87822.0,-81551.0,-1.2816799999999997,False,hard_negative,php,70617.0,66968.0,0.2212899999999997
v1_2_iter15,php,hard_negative,php_p10_h9,base,1,True,False,True,hard_negative,php,-87822.0,-81551.0,-1.1314500000000005,False,hard_negative,php,70617.0,66968.0,0.2323300000000001
v1_2_iter15,php,hard_negative,php_p10_h9,base,2,True,False,True,hard_negative,php,-87822.0,-81551.0,-0.8334700000000002,False,hard_negative,php,70617.0,66968.0,0.1735299999999999
v1_2_iter15,php,hard_negative,php_p10_h9,perm_seed1731,0,True,False,True,hard_negative,php,-16019.0,-10993.0,0.18066,False,hard_negative,php,116261.0,110921.0,1.0234099999999997
v1_2_iter15,php,hard_negative,php_p10_h9,perm_seed1731,1,True,False,True,hard_negative,php,-16019.0,-10993.0,-0.6362699999999997,False,hard_negative,php,116261.0,110921.0,0.87479
v1_2_iter15,php,hard_negative,php_p10_h9,perm_seed1731,2,True,False,True,hard_negative,php,-16019.0,-10993.0,0.1650100000000001,False,hard_negative,php,116261.0,110921.0,1.0126700000000004
